time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2024-07-02 10:00:00-04:00,Strategy,,bt_1,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 10:00:00-04:00,Strategy,,bt_1,TSLA,buy,market,fill,218.87600708007807,456.0,1,199.6149184570312,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,TSLA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-02 11:00:00-04:00,Strategy,,bt_2,TSLA,sell,market,fill,229.43499755859372,456.0,1,209.2447177734375,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 10:00:00-04:00,Strategy,,bt_3,NVDA,buy,market,fill,127.52999877929688,784.0,1,199.9670380859375,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_4,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-08 11:00:00-04:00,Strategy,,bt_4,NVDA,sell,market,fill,128.9600067138672,784.0,1,202.20929052734377,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,Strategy,,bt_5,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 10:00:00-04:00,Strategy,,bt_5,NVDA,buy,market,fill,130.30999755859375,767.0,1,199.8955362548828,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,Strategy,,bt_6,NVDA,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-09 11:00:00-04:00,Strategy,,bt_6,NVDA,sell,market,fill,131.96499633789062,767.0,1,202.4343043823242,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_7,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2024-07-10 10:00:00-04:00,Strategy,,bt_7,AMD,buy,market,fill,180.7899932861328,553.0,1,199.9537325744629,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
